,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,wind speed
280,Nkayi,64,CG,1540473197,75,-4.18,13.29,83.86,2.93
281,Viedma,92,AR,1540473198,95,-40.81,-62.99,54.16,4.83
282,Constitucion,32,MX,1540473198,94,23.99,-104.67,43.63,3.83
283,Merauke,12,ID,1540473198,66,-8.49,140.4,81.88,17.25
284,Mehamn,40,NO,1540471800,74,71.03,27.85,39.2,9.17
285,Marawi,32,PH,1540473199,95,8.0,124.29,69.24,2.71
286,Gari,80,RU,1540473200,80,59.43,62.35,49.08,8.52
287,Jatai,0,IN,1540473200,25,28.97,76.18,84.49,3.94
288,Oranjemund,0,ZA,1540473200,78,-28.55,16.43,66.85,16.8
289,Nikolskoye,20,RU,1540470600,69,59.7,30.79,39.2,8.95
290,Kieta,92,PG,1540473201,100,-6.22,155.63,76.44,3.6
291,Statesville,1,US,1540472040,80,35.78,-80.89,44.6,3.36
292,Ancud,0,CL,1540473201,93,-41.87,-73.83,46.74,2.71
293,Halifax,75,CA,1540468980,80,44.65,-63.58,39.2,19.46
294,Khani,90,GE,1540470600,93,41.96,42.96,62.6,3.36
295,Monrovia,75,LR,1540470600,74,6.33,-10.8,87.8,13.87
296,Le Vauclin,0,MQ,1540470600,70,14.55,-60.84,84.2,4.7
297,La Rioja,100,AR,1540473202,100,-29.41,-66.86,61.59,6.17
298,Bredasdorp,0,ZA,1540468800,30,-34.53,20.04,93.2,17.22
299,Havre-Saint-Pierre,90,CA,1540468800,99,50.23,-63.6,33.8,16.11
300,Cadillac,40,US,1540471740,100,44.25,-85.4,30.2,4.72
301,Sinegorye,80,RU,1540473204,78,62.09,150.53,15.24,2.04
302,Tongliao,92,CN,1540473204,60,43.61,122.27,54.93,17.36
303,Quirinopolis,76,BR,1540473204,100,-18.45,-50.45,72.66,4.61
304,Rawson,88,AR,1540473205,92,-43.3,-65.11,51.96,4.61
305,Los Llanos de Aridane,40,ES,1540472400,69,28.66,-17.92,77.0,4.7
306,Namatanai,80,PG,1540473205,100,-3.66,152.44,80.8,8.97
307,Voi,92,KE,1540473205,100,-3.4,38.57,68.29,7.74
308,Nantucket,1,US,1540470900,80,41.28,-70.1,42.8,10.29
309,San Cristobal,0,EC,1540468800,75,-0.39,-78.55,46.4,2.24
310,Shanghai,75,CN,1540470600,68,31.23,121.49,69.8,8.95
311,Ginda,8,IN,1540473267,77,30.69,78.49,48.54,1.03
312,Melo,80,UY,1540473267,86,-32.37,-54.17,65.95,8.75
313,Kualakapuas,48,ID,1540473268,91,-3.01,114.39,76.93,1.36
314,Erenhot,88,CN,1540473268,43,43.65,111.97,32.02,24.52
315,Baruun-Urt,92,MN,1540473337,67,46.68,113.28,30.63,29.77
316,Pecos,90,US,1540472100,100,31.42,-103.49,55.4,3.83
317,Huambo,36,AO,1540473270,88,-12.78,15.73,67.21,6.73
318,Benghazi,75,LY,1540470600,60,32.12,20.07,73.4,23.04
319,Costinesti,0,RO,1540470600,32,43.95,28.63,55.4,17.22
320,Pitimbu,40,BR,1540468800,62,-7.47,-34.81,84.2,14.99
321,Aden,8,YE,1540473271,99,12.79,45.03,81.25,13.78
322,Umm Lajj,24,SA,1540473271,76,25.02,37.27,84.81,7.4
323,Dingle,24,PH,1540473272,85,11.0,122.67,77.83,8.97
324,Port-Cartier,90,CA,1540469400,80,50.03,-66.88,33.8,14.99
325,Masasi,12,TZ,1540473272,31,-10.73,38.81,90.97,9.64
326,Vagur,88,FO,1540473273,100,61.47,-6.81,43.9,11.54
327,Paita,80,PE,1540473273,95,-5.09,-81.11,62.76,7.4
328,Tura,56,IN,1540473273,95,25.52,90.21,68.16,0.92
329,Manavalakurichi,75,IN,1540472400,78,8.13,77.3,82.4,3.36
330,Santa Vitoria do Palmar,56,BR,1540473274,89,-33.52,-53.37,67.3,8.41
331,Quatre Cocos,40,MU,1540468800,57,-20.21,57.76,78.8,11.41
332,Hasaki,0,JP,1540470600,67,35.73,140.83,62.6,6.93
333,Biltine,0,TD,1540473274,30,14.53,20.93,97.18,4.61
334,Boa Vista,0,BR,1540472400,55,2.82,-60.67,87.8,13.87
335,San Quintin,20,PH,1540468800,74,17.54,120.52,82.4,2.24
336,Yemtsa,88,RU,1540473276,87,63.06,40.33,32.16,10.98
337,Jalu,8,LY,1540473276,44,29.03,21.55,81.48,11.43
338,San Vicente,20,SV,1540471800,88,13.64,-88.78,77.0,2.24
339,Beringovskiy,20,RU,1540473277,100,63.05,179.32,26.62,25.86
340,Trelew,88,AR,1540473278,92,-43.25,-65.31,51.96,4.61
341,Aleppo,88,SY,1540473278,53,36.2,37.17,72.66,19.71
342,Mana,20,RS,1540472400,41,43.52,20.24,57.2,6.93
343,Boda,0,BD,1540473279,76,26.2,88.56,75.09,4.5
344,Kiyasovo,92,RU,1540473279,96,56.35,53.12,51.19,14.34
345,Warrington,75,GB,1540471800,87,53.39,-2.59,53.6,12.75
346,Seoul,20,KR,1540472100,66,37.57,126.98,59.0,3.36
347,Arman,90,RU,1540468800,100,59.7,150.17,39.2,20.13
348,Aykhal,12,RU,1540473280,75,65.95,111.51,10.74,4.72
349,Lojt Kirkeby,40,DK,1540472520,71,55.08,9.47,53.6,20.8
350,Touros,24,BR,1540473061,79,-5.2,-35.46,81.52,16.24
351,Faya,40,SA,1540468800,60,18.39,42.45,82.4,9.17
352,Sinnamary,80,GF,1540473045,93,5.38,-52.96,82.15,6.51
353,Bongandanga,20,CD,1540473281,89,1.51,21.07,79.09,2.82
354,Hong Gai,0,VN,1540473342,88,20.96,107.09,77.16,4.27
355,Kachug,64,RU,1540473342,78,53.96,105.89,18.61,2.82
356,General Pico,92,AR,1540473343,100,-35.66,-63.75,54.93,4.72
357,Yerbogachen,24,RU,1540473344,88,61.28,108.01,20.59,5.06
358,Ketchikan,90,US,1540472160,87,55.34,-131.65,51.8,16.11
359,Caranavi,92,BO,1540473344,94,-15.83,-67.57,65.64,2.26
360,Huangnihe,76,CN,1540473344,71,43.56,128.02,39.49,3.71
361,Thunder Bay,90,CA,1540468800,100,48.41,-89.26,35.6,3.36
362,Bosobolo,8,CD,1540473345,90,4.19,19.88,85.84,4.61
363,Mitsamiouli,20,KM,1540468800,48,-11.38,43.28,87.8,13.87
364,Shetpe,0,KZ,1540473345,31,44.14,52.16,82.6,17.25
365,Tigil,64,RU,1540473346,84,57.8,158.67,29.91,4.38
366,Guerrero Negro,80,MX,1540473346,100,27.97,-114.04,63.66,4.83
367,Oxford,1,US,1540470900,76,33.61,-85.83,55.4,6.93
368,Gojra,64,PK,1540473182,48,31.15,72.69,82.33,2.93
369,Lamar,90,US,1540471980,87,38.09,-102.62,42.8,10.2
370,Grand Gaube,40,MU,1540468800,57,-20.01,57.66,78.8,11.41
371,Arima,20,TT,1540468800,79,10.64,-61.28,84.2,9.17
372,Iberia,92,PE,1540473348,97,-11.41,-69.49,74.59,2.71
373,Hobyo,44,SO,1540473349,81,5.35,48.53,83.01,6.62
374,Ouallam,0,NE,1540473349,44,14.32,2.08,97.18,9.75
375,Necochea,48,AR,1540473349,100,-38.55,-58.74,52.45,3.38
